iter	TotalF1	MultiClass
0	0.566901018	1.080381776
1	0.6006282765	1.061166694
2	0.6332534998	1.047104822
3	0.6584893925	1.028538793
4	0.679997688	1.009675183
5	0.6867963197	0.993992968
6	0.682579123	0.9800326278
7	0.6852771263	0.9667481232
8	0.6875505342	0.9531948103
9	0.6931087241	0.9385561983
10	0.6913766276	0.9246373523
11	0.7008789643	0.9113620894
12	0.7135519852	0.9002325158
13	0.7066648652	0.8927821958
14	0.7063366484	0.8832536815
15	0.7012009869	0.8759985735
16	0.7066057221	0.8694629536
17	0.7023759	0.8612453824
18	0.7119102895	0.8507967121
19	0.7144498411	0.8445312094
20	0.7208448398	0.8355170654
21	0.7225814773	0.8299081645
22	0.7177718312	0.8248512194
23	0.7190377438	0.8179164841
24	0.7257418112	0.8125541823
25	0.7220728977	0.8055353409
26	0.7234108432	0.8010355179
27	0.7263296376	0.7959502227
28	0.7294345839	0.7915553038
29	0.7310271678	0.7869236319
30	0.7305385027	0.7823312729
31	0.7299815022	0.7782271405
32	0.7326511672	0.7725171346
33	0.7347858928	0.769689628
34	0.7341323365	0.7637463198
35	0.7346264581	0.7599019156
36	0.7364027923	0.7553878685
37	0.7356790694	0.7510669899
38	0.7350138632	0.7469462901
39	0.738233062	0.7433893611
40	0.7396181264	0.7398503948
41	0.7377837385	0.7366556152
42	0.7387463117	0.7330619801
43	0.7355392562	0.7301232392
44	0.7379522071	0.7272386119
45	0.7379787814	0.7249129589
46	0.7358545341	0.7225600124
47	0.7360135892	0.7201654982
48	0.7373377206	0.7178055875
49	0.7407543678	0.7128683639
50	0.7439588351	0.7096205712
51	0.746904746	0.7036421854
52	0.7459778564	0.7030198442
53	0.7482039584	0.700093601
54	0.7484463116	0.6955352597
55	0.7487658256	0.6929972639
56	0.7531192179	0.6912218758
57	0.7553539353	0.6884051774
58	0.7554623028	0.6875302282
59	0.7532818262	0.6868513037
60	0.7555426704	0.6832885467
61	0.7544870652	0.6812252465
62	0.754727547	0.6801460021
63	0.7559427437	0.6769096643
64	0.7570507105	0.6727555707
65	0.7573986756	0.6713180032
66	0.760527049	0.6689497932
67	0.7620908581	0.666418083
68	0.7660928742	0.6649897176
69	0.7695429825	0.6636887055
70	0.769677562	0.6612538624
71	0.7720215214	0.6593445928
72	0.7728980035	0.6581861204
73	0.7696681759	0.6579338702
74	0.7715450626	0.6553704623
75	0.7718142066	0.6540561953
76	0.7721916643	0.6519223954
77	0.77224563	0.651375785
78	0.7703680737	0.6493023063
79	0.7757454929	0.6470633749
80	0.7781590343	0.6450188553
81	0.7813578016	0.6435292996
82	0.7834675342	0.6425472423
83	0.7817435232	0.6414737771
84	0.7848526995	0.6404949527
85	0.7818243953	0.6373233981
86	0.7880827775	0.636119467
87	0.7882996112	0.6338573901
88	0.7875128992	0.6315409016
89	0.7876436913	0.6297580376
90	0.7900578039	0.6275205351
91	0.7920887799	0.6262033273
92	0.7920613105	0.625090597
93	0.7919797533	0.6245013983
94	0.7930562724	0.6219807601
95	0.7900844161	0.6209321782
96	0.7880774935	0.6196751427
97	0.7880775475	0.6196222253
98	0.7923988207	0.6174640016
99	0.7924533451	0.6159273169
100	0.793405872	0.6146134909
101	0.7936234489	0.6127851421
102	0.7937322659	0.6112232163
103	0.7980554328	0.6094499699
104	0.798164491	0.6083537504
105	0.7982463901	0.6070701044
106	0.7961733586	0.6060397978
107	0.7984561343	0.6035888761
108	0.8005978543	0.6011839777
109	0.8006795494	0.6003142762
110	0.7986215921	0.5989572082
