iter	Passed	Remaining
0	4	4218
1	8	4376
2	10	3476
3	13	3425
4	16	3364
5	20	3341
6	23	3295
7	26	3253
8	29	3224
9	32	3244
10	35	3202
11	38	3177
12	41	3148
13	44	3108
14	47	3136
15	50	3108
16	53	3081
17	56	3064
18	59	3084
19	63	3097
20	66	3114
21	69	3110
22	73	3109
23	76	3112
24	79	3092
25	82	3078
26	84	3060
27	88	3071
28	91	3078
29	94	3065
30	98	3081
31	101	3082
32	104	3066
33	107	3054
34	111	3060
35	114	3060
36	117	3048
37	119	3036
38	122	3025
39	125	3014
40	128	3003
41	131	3010
42	134	2999
43	137	2993
44	141	3000
45	144	2990
46	146	2980
47	149	2971
48	152	2961
49	155	2952
50	158	2944
51	161	2936
52	162	2898
53	165	2891
54	168	2894
55	171	2889
56	174	2880
57	176	2873
58	180	2875
59	181	2846
60	184	2841
61	187	2835
62	190	2837
63	194	2837
64	196	2833
65	199	2826
66	202	2822
67	205	2819
68	208	2819
69	212	2822
70	215	2820
71	218	2813
72	221	2818
73	223	2791
74	226	2795
75	230	2802
76	233	2795
77	235	2785
78	238	2779
79	241	2773
80	244	2773
81	247	2767
82	249	2761
83	253	2763
84	256	2759
85	259	2755
86	262	2756
87	266	2756
88	269	2756
89	272	2752
90	275	2750
91	278	2746
92	281	2742
93	283	2729
94	286	2724
95	288	2719
96	292	2721
97	293	2700
98	296	2695
99	298	2689
100	301	2684
101	304	2681
102	307	2676
103	310	2672
104	313	2668
105	315	2663
106	318	2659
107	321	2654
108	324	2650
109	327	2649
110	330	2649
111	333	2645
112	336	2641
113	339	2637
114	342	2632
115	344	2628
116	347	2623
117	351	2624
118	354	2625
119	357	2621
120	360	2621
121	364	2621
122	366	2615
123	370	2616
124	373	2611
125	375	2606
126	378	2602
127	381	2598
128	384	2594
129	387	2595
130	390	2591
131	393	2587
132	396	2581
133	399	2582
134	402	2578
135	405	2574
136	408	2574
137	411	2568
138	413	2563
139	415	2553
140	418	2549
141	421	2548
142	424	2545
143	428	2545
144	430	2540
145	433	2536
146	436	2535
147	439	2531
148	442	2528
149	446	2527
150	448	2523
151	451	2519
152	454	2515
153	457	2511
154	460	2508
155	462	2504
156	465	2501
157	469	2499
158	471	2495
159	474	2491
160	477	2487
161	480	2483
162	482	2480
163	485	2476
164	489	2474
165	492	2473
166	495	2472
167	498	2469
168	501	2466
169	504	2461
170	507	2460
171	510	2457
172	513	2453
173	515	2449
174	519	2448
175	522	2444
176	525	2441
177	527	2437
178	530	2434
179	533	2431
180	536	2428
181	539	2424
182	542	2420
183	544	2416
184	547	2412
185	550	2408
186	553	2405
187	556	2401
188	558	2397
189	561	2394
190	564	2390
191	567	2387
192	570	2384
193	573	2382
194	576	2379
195	579	2375
196	582	2372
197	585	2371
198	588	2367
199	590	2363
200	593	2360
201	597	2359
202	600	2355
203	602	2352
204	606	2351
205	609	2347
206	612	2344
207	615	2345
208	620	2347
209	624	2348
210	628	2350
211	632	2349
212	634	2346
213	640	2350
214	642	2347
215	645	2344
216	648	2340
217	652	2339
218	655	2337
219	658	2334
220	661	2333
221	665	2331
222	668	2327
223	671	2326
224	674	2324
225	678	2322
226	681	2319
227	683	2315
228	686	2311
229	689	2307
230	692	2306
231	695	2302
232	698	2299
233	701	2294
234	703	2291
235	707	2289
236	710	2288
237	713	2284
238	716	2281
239	720	2280
240	723	2277
241	726	2274
242	729	2271
243	732	2270
244	735	2267
245	738	2263
246	741	2260
247	744	2257
248	747	2253
249	750	2251
250	753	2249
251	756	2246
252	760	2245
253	763	2242
254	766	2238
255	769	2235
256	772	2232
257	775	2230
258	778	2228
259	781	2225
260	784	2221
261	787	2219
262	791	2217
263	794	2214
264	797	2210
265	800	2210
266	804	2208
267	807	2205
268	810	2201
269	813	2198
270	816	2195
271	819	2192
272	821	2188
273	824	2185
274	827	2182
275	830	2178
276	833	2175
277	836	2172
278	839	2168
279	842	2165
280	845	2162
281	847	2158
282	850	2155
283	853	2151
284	856	2148
285	859	2146
286	862	2143
287	866	2140
288	868	2137
289	871	2134
290	875	2132
291	878	2130
292	881	2127
293	884	2123
294	887	2121
295	891	2119
296	893	2115
297	897	2113
298	899	2109
299	902	2106
300	905	2102
301	908	2100
302	912	2098
303	915	2096
304	918	2092
305	921	2089
306	924	2085
307	927	2084
308	930	2080
309	933	2077
310	936	2075
311	939	2071
312	942	2068
313	945	2066
314	949	2063
315	952	2060
316	955	2058
317	958	2055
318	961	2053
319	964	2049
320	967	2046
321	970	2043
322	973	2041
323	976	2037
324	979	2034
325	982	2030
326	985	2028
327	988	2025
328	991	2021
329	994	2019
330	998	2017
331	1001	2015
332	1004	2011
333	1007	2008
334	1010	2005
335	1013	2002
336	1016	1999
337	1019	1995
338	1021	1992
339	1025	1989
340	1028	1987
341	1031	1983
342	1034	1981
343	1037	1979
344	1041	1976
345	1044	1973
346	1046	1969
347	1049	1966
348	1052	1963
349	1055	1959
350	1058	1956
351	1061	1953
352	1064	1950
353	1067	1947
354	1070	1945
355	1074	1942
356	1076	1939
357	1079	1936
358	1083	1933
359	1085	1930
360	1089	1927
361	1091	1924
362	1094	1920
363	1097	1917
364	1100	1914
365	1103	1911
366	1106	1908
367	1109	1905
368	1112	1901
369	1116	1900
370	1119	1898
371	1122	1895
372	1125	1892
373	1129	1891
374	1132	1887
375	1135	1884
376	1139	1882
377	1141	1878
378	1144	1875
379	1147	1872
380	1150	1869
381	1153	1866
382	1157	1864
383	1160	1861
384	1163	1858
385	1166	1855
386	1169	1851
387	1171	1848
388	1174	1844
389	1177	1841
390	1180	1837
391	1182	1834
392	1186	1832
393	1189	1829
394	1193	1827
395	1196	1824
396	1199	1821
397	1202	1818
398	1205	1815
399	1208	1812
400	1210	1808
401	1213	1805
402	1216	1801
403	1219	1799
404	1222	1795
405	1225	1793
406	1228	1790
407	1232	1787
408	1235	1784
409	1238	1782
410	1241	1779
411	1244	1776
412	1248	1773
413	1251	1771
414	1254	1767
415	1256	1764
416	1259	1761
417	1262	1757
418	1265	1755
419	1269	1752
420	1272	1749
421	1275	1746
422	1278	1743
423	1281	1741
424	1284	1737
425	1287	1735
426	1290	1731
427	1293	1728
428	1296	1725
429	1299	1722
430	1302	1719
431	1305	1716
432	1309	1714
433	1312	1712
434	1316	1710
435	1319	1707
436	1323	1704
437	1325	1701
438	1328	1698
439	1331	1694
440	1335	1692
441	1337	1689
442	1340	1685
443	1344	1683
444	1347	1680
445	1350	1677
446	1353	1674
447	1356	1671
448	1359	1668
449	1363	1665
450	1365	1662
451	1368	1659
452	1371	1656
453	1374	1653
454	1378	1650
455	1381	1648
456	1384	1645
457	1387	1642
458	1390	1638
459	1393	1635
460	1395	1632
461	1399	1629
462	1402	1626
463	1404	1623
464	1408	1620
465	1411	1617
466	1414	1614
467	1417	1611
468	1420	1607
469	1423	1605
470	1427	1602
471	1430	1599
472	1433	1597
473	1437	1595
474	1440	1592
475	1443	1589
476	1446	1585
477	1449	1582
478	1451	1579
479	1454	1576
480	1458	1573
481	1461	1570
482	1463	1566
483	1466	1563
484	1470	1561
485	1473	1558
486	1476	1555
487	1479	1552
488	1482	1548
489	1484	1545
490	1487	1542
491	1490	1538
492	1493	1535
493	1495	1532
494	1498	1529
495	1502	1526
496	1504	1523
497	1507	1519
498	1510	1516
499	1513	1513
500	1516	1510
501	1520	1508
502	1523	1505
503	1526	1502
504	1529	1499
505	1533	1496
506	1536	1494
507	1539	1491
508	1542	1488
509	1545	1484
510	1549	1482
511	1552	1479
512	1555	1476
513	1558	1473
514	1560	1469
515	1563	1466
516	1566	1463
517	1569	1460
518	1572	1457
519	1575	1453
520	1578	1451
521	1581	1448
522	1584	1445
523	1588	1442
524	1591	1439
525	1593	1436
526	1596	1433
527	1599	1429
528	1603	1427
529	1606	1424
530	1608	1421
531	1611	1417
532	1614	1414
533	1617	1411
534	1620	1408
535	1623	1405
536	1626	1402
537	1630	1399
538	1632	1396
539	1635	1393
540	1638	1390
541	1641	1387
542	1644	1384
543	1648	1381
544	1651	1378
545	1655	1376
546	1657	1372
547	1660	1369
548	1663	1366
549	1666	1363
550	1669	1360
551	1672	1357
552	1674	1353
553	1677	1350
554	1680	1347
555	1683	1344
556	1686	1341
557	1689	1337
